Place,Population,Division,Col4,Col5,Col6,Col7,Col8,Col9,Latitude,Longitude
Sherpur,107400,Mymensingh Division,14,6,1,0,0,0,25.0188,90.0175
Mymensingh,225100,Mymensingh Division,11,6,2,0,0,0,24.7434,90.3984
Rangpur,1031400,Rangpur Division,10,2,0,0,0,0,25.7449,89.2756
Sylhet,237000,Sylhet Division,8,7,2,0,0,0,24.899,91.872
Jamalpur,167900,Mymensingh Division,6,3,1,0,0,0,24.923,89.9501
Nagar Naluakot,273000,Dhaka Division,5,4,1,0,0,0,,
Karnaphuli,203700,Chittagong,3,3,1,0,0,0,,
Bhairab Bazar,105500,Dhaka Division,3,2,1,0,0,0,24.0667,90.9833
Ashuganj City,180700,Chittagong,3,2,1,0,0,0,24.0167,91.05
Saidpur,199400,Rangpur Division,3,1,0,0,0,0,25.7777,88.8917
Dhaka,10356500,Dhaka Division,2,2,1,0,0,0,23.8103,90.4125
Narsingdi,281100,Dhaka Division,2,2,1,0,0,0,23.9207,90.7188
Gazipur,2674700,Dhaka Division,2,2,1,0,0,0,24.0,90.4167
Paltan,184500,Dhaka Division,2,2,1,0,0,0,23.725,90.421
Savar,286000,Dhaka Division,2,2,1,0,0,0,23.8583,90.2667
Bogra,210000,Rajshahi Division,2,1,0,0,0,0,24.849,89.3677
Dinajpur,206200,Rangpur Division,2,0,0,0,0,0,25.625,88.65
Satkhira,128900,Khulna Division,1,1,0,0,0,0,22.7234,89.0751
Cox's Bazar,253800,Chittagong,1,1,1,0,0,0,21.4272,92.0058
Comilla,1030000,Chittagong,1,1,1,0,0,0,23.45,91.1999
Rajshahi,763600,Rajshahi Division,1,1,0,0,0,0,24.3745,88.6042
Jessore,244000,Khulna Division,1,1,0,0,0,0,23.1707,89.2124
Chittagong,3920200,Chittagong,1,1,1,0,0,0,22.3419,91.8155
Pabna,186800,Rajshahi Division,1,1,0,0,0,0,24.0064,89.2493
Faridpur,112200,Dhaka Division,1,1,0,0,0,0,23.607,89.8429
Bandarban,495300,Chittagong,1,1,1,0,0,0,22.194,92.218
Tangail,180100,Dhaka Division,1,1,0,0,0,0,24.25,89.9167
Bagerhat,266400,Khulna Division,1,1,0,0,0,0,22.65,89.7667
Khulna,1500700,Khulna Division,1,1,0,0,0,0,22.8167,89.55
Narayanganj,223600,Dhaka Division,1,1,1,0,0,0,23.6226,90.501
