district,decade,cyclone_count,avg_max_wind_kph,strongest_category,avg_damage_usd_million,avg_fatalities,population_affected_percent,exposure_index,coastal_flag,Latitude,Longitude,predicted_dist_coast,norm_cyclone_count,norm_wind,norm_damage,norm_fatalities,norm_pop_pct,norm_exposure,norm_coastal_fl,proximity_score,CVI_0_1,CVI,CVI_Class,Place
Bagerhat,1970s,4,185,Category 3,36.8,2,31.24,0.9,1,22.65,89.7667,18.216448569713435,0.36363636363636365,0.7333333333333334,0.14989010989010987,0.05,0.3124,0.9,1,0.9343339604944657,0.5042023670784176,50.42,High,Bagerhat
Bandarban,1970s,6,130,Category 1,31.9,3,9.32,0.5,0,22.194,92.218,23.505749307476048,0.5454545454545454,0.3666666666666667,0.12835164835164833,0.07500000000000001,0.0932,0.5,0,0.9152672675617919,0.34316765582710823,34.32,Medium,Bandarban
Barguna,1970s,8,186,Category 3,39.2,3,42.71,0.9,1,22.15,90.13,0.9261178150548535,0.7272727272727273,0.74,0.16043956043956045,0.07500000000000001,0.42710000000000004,0.9,1,0.9966615617310126,0.5827829993299445,58.28,High,Barguna
Barishal,1970s,2,196,Category 3,34.9,1,69.68,0.9,1,22.7,90.37,0.899381680381425,0.18181818181818182,0.8066666666666666,0.14153846153846153,0.025,0.6968000000000001,0.9,1,0.9967579392476824,0.5276092904282648,52.76,High,Barishal
Bhola,1970s,11,211,Category 4,37.5,40,83.42,0.9,1,22.69,90.65,0.0,1.0,0.9066666666666667,0.15296703296703296,1.0,0.8342,0.9,1,1.0,0.8273650549450551,82.74,Very High,Bhola
Bogura,1970s,1,107,Tropical Storm,13.5,0,9.81,0.25,0,24.85,89.37,169.40081656809386,0.09090909090909091,0.21333333333333337,0.04747252747252747,0.0,0.0981,0.25,0,0.38934964900212676,0.13900220765745544,13.9,Low,Bogura
Brahmanbaria,1970s,5,140,Category 1,21.6,2,31.8,0.55,0,23.96,91.11,53.92480009450332,0.4545454545454546,0.43333333333333335,0.08307692307692308,0.05,0.318,0.55,0,0.8056136990817746,0.34800472655153414,34.8,Medium,Brahmanbaria
Chandpur,1970s,8,196,Category 3,26.3,0,46.87,0.9,1,23.23,90.65,0.6753323067304762,0.7272727272727273,0.8066666666666666,0.10373626373626374,0.0,0.46869999999999995,0.9,1,0.9975655848743834,0.5772779071387869,57.73,High,Chandpur
Chapainawabganj,1970s,0,116,Tropical Storm,13.0,1,31.98,0.25,0,24.6,88.27,224.03568032443172,0.0,0.27333333333333343,0.04527472527472527,0.025,0.31980000000000003,0.25,0,0.19240373454062298,0.1402615822452711,14.03,Low,Chapainawabganj
Chattogram,1970s,4,192,Category 3,66.5,1,37.93,0.9,1,22.35,91.83,0.5135106554453361,0.36363636363636365,0.78,0.2804395604395605,0.025,0.37929999999999997,0.9,1,0.9981489141059554,0.5401062800219841,54.01,High,Chattogram
