District,Population_Density_Per_Sq_Km,Total_Area_Sq_Km,Division
Dhaka,4532,1463.6,Dhaka
Chittagong,450,5185.0,Chittagong
Khulna,335,9280.0,Khulna
Rajshahi,365,6353.0,Rajshahi
Barisal,380,10200.0,Barisal
Sylhet,365,12596.0,Sylhet
Rangpur,280,5603.0,Rangpur
Mymensingh,320,13528.57,Mymensingh
Narayanganj,890,1796.0,Dhaka
Gazipur,2100,1741.0,Dhaka
Narsingdi,650,1823.4,Dhaka
Tangail,420,3414.59,Dhaka
Jamalpur,380,5057.38,Mymensingh
Sherpur,310,2158.64,Mymensingh
Netrokona,280,2854.47,Mymensingh
Kishoreganj,410,3107.34,Mymensingh
Bogra,405,4148.57,Rajshahi
Pabna,320,3557.24,Rajshahi
Sirajganj,280,4203.21,Rajshahi
Nawabganj,310,3957.39,Rajshahi
Naogaon,195,3575.61,Rajshahi
Dinajpur,240,3435.82,Rangpur
Thakurgaon,145,3415.67,Rangpur
Panchagarh,95,1430.0,Rangpur
Kurigram,210,4317.24,Rangpur
Lalmonirhat,185,2431.88,Rangpur
Nilphamari,245,3344.26,Rangpur
Satkhira,280,3866.0,Khulna
Jessore,420,4511.0,Khulna
Magura,510,1886.0,Khulna
Narail,450,1603.0,Khulna
Bagerhat,315,3651.0,Khulna
Pirojpur,280,2076.43,Barisal
Jhalokati,285,1448.15,Barisal
Patuakhali,220,3612.56,Barisal
Bhola,290,1854.0,Barisal
Noakhali,320,3678.77,Chittagong
Feni,315,1259.81,Chittagong
Comilla,590,3144.0,Chittagong
Chandpur,420,2017.07,Chittagong
Bandarban,285,10260.0,Chittagong
Rangamati,85,13295.0,Chittagong
Cox_Bazar,320,5099.0,Chittagong
Habiganj,420,2619.56,Sylhet
Maulvibazar,395,2810.38,Sylhet
