City,Latitude,Longitude
Dhaka,23.71,90.41
Azimpur,23.73,90.39
Bagerhat,22.66,89.79
Barisal,22.71,90.37
Bhairab Bazar,24.05,90.98
Bhola,22.69,90.64
Bogra,24.85,89.37
Chittagong,22.34,91.83
Comilla,23.46,91.19
Coxs Bazar,21.44,92.01
Dinajpur,25.63,88.64
Faridpur,23.61,89.84
Feni,23.01,91.4
Habiganj,24.38,91.41
Ishurdi,24.13,89.07
Jamalpur,24.92,89.95
Jessore,23.17,89.21
Joypur Hat,25.1,89.03
Khagrachhari,23.11,91.97
Khulna,22.81,89.56
Kishorganj,24.44,90.78
Kushtia,23.9,89.12
Lakshmipur,22.94,90.83
Lalmonirhat,25.92,89.45
Laksham,23.24,91.12
Maulavi Bazar,24.49,91.77
Mymensingh,24.76,90.41
Madaripur,23.17,90.21
Narail,23.16,89.5
Narsingdi,23.92,90.72
Natore,24.41,88.99
Nawabganj,24.59,88.27
Netrakona,24.88,90.73
Nagarpur,24.06,89.88
Narayanganj,23.61,90.5
Paltan,23.74,90.41
Patiya,22.3,91.98
Pirojpur,22.58,89.98
Puthia,24.37,88.83
Pabna,24.01,89.24
Palang,23.22,90.35
Par Naogaon,24.8,88.95
Rangpur,25.75,89.25
Raipur,23.04,90.77
Rajshahi,24.37,88.6
Ramganj,23.1,90.85
Saidpur,25.78,88.89
Sandwip,22.51,91.45
Sarishabari,24.75,89.83
Sherpur,25.02,90.02
Shibganj,25,89.32
Shahzadpur,24.18,89.6
Sirajganj,24.46,89.71
Sonargaon,23.65,90.62
Sylhet,24.9,91.87
Satkania,22.08,92.05
Satkhira,22.71,89.07
Thakurgaon,26.03,88.47
Tungi,23.89,90.4
Tungipara,22.9,89.9
Tangail,24.25,89.92
Brahmanbaria,23.9691,91.1105
Kurigram,25.813,89.6431
Meherpur,23.7751,88.6311
Munshiganj,23.5484,90.535
Chandpur,23.2242,90.6531
Joypurhat,25.1506,88.9287
Panchagarh,26.3084,88.6609
