district,latitude,longitude,division
Bagerhat,22.66,89.78,Khulna
Bandarban,22.19,92.22,Chattogram
Barguna,22.15,90.13,Barishal
Barishal,22.7,90.37,Barishal
Bhola,22.69,90.65,Barishal
Bogura,24.85,89.37,Rajshahi
Brahmanbaria,23.96,91.11,Chattogram
Chandpur,23.23,90.65,Chattogram
Chapainawabganj,24.6,88.27,Rajshahi
Chattogram,22.35,91.83,Chattogram
Chuadanga,23.63,88.83,Khulna
Cox's Bazar,21.45,91.97,Chattogram
Cumilla,23.46,91.18,Chattogram
Dhaka,23.81,90.41,Dhaka
Dinajpur,25.62,88.64,Rangpur
Faridpur,23.61,89.84,Dhaka
Feni,23.02,91.4,Chattogram
Gaibandha,25.33,89.55,Rangpur
Gazipur,24.0,90.42,Dhaka
Gopalganj,23.02,89.83,Dhaka
Habiganj,24.38,91.42,Sylhet
Jamalpur,24.92,89.95,Mymensingh
Jashore,23.17,89.2,Khulna
Jhalokathi,22.64,90.19,Barishal
Jhenaidah,23.55,89.15,Khulna
Joypurhat,25.1,89.02,Rajshahi
Khagrachhari,23.1,91.98,Chattogram
Khulna,22.82,89.55,Khulna
Kishoreganj,24.44,90.77,Dhaka
Kurigram,25.81,89.65,Rangpur
Kushtia,23.9,89.12,Khulna
Lakshmipur,22.95,90.83,Chattogram
Lalmonirhat,25.92,89.45,Rangpur
Madaripur,23.17,90.19,Dhaka
Magura,23.49,89.42,Khulna
Manikganj,23.86,90.0,Dhaka
Meherpur,23.77,88.63,Khulna
Moulvibazar,24.48,91.77,Sylhet
Munshiganj,23.54,90.53,Dhaka
Mymensingh,24.75,90.41,Mymensingh
Naogaon,24.81,88.94,Rajshahi
Narail,23.18,89.5,Khulna
Narayanganj,23.62,90.5,Dhaka
Narsingdi,23.92,90.72,Dhaka
Natore,24.42,89.0,Rajshahi
Netrokona,24.88,90.73,Mymensingh
Nilphamari,25.95,88.85,Rangpur
Noakhali,22.82,91.1,Chattogram
Pabna,24.01,89.25,Rajshahi
Panchagarh,26.33,88.56,Rangpur
Patuakhali,22.35,90.3,Barishal
Pirojpur,22.58,89.98,Barishal
Rajbari,23.72,89.65,Dhaka
Rajshahi,24.37,88.6,Rajshahi
Rangamati,22.65,92.17,Chattogram
Rangpur,25.75,89.25,Rangpur
Satkhira,22.72,89.07,Khulna
Shariatpur,23.22,90.35,Dhaka
Sherpur,25.02,90.01,Mymensingh
Sirajganj,24.45,89.71,Rajshahi
Sunamganj,25.07,91.4,Sylhet
Sylhet,24.89,91.87,Sylhet
Tangail,24.26,89.92,Dhaka
Thakurgaon,26.02,88.46,Rangpur
