Place,admin_level,area_km2,population,population_density,landuse_built_pct,landuse_vegetation_pct,landuse_water_pct,buildings_count,building_footprint_area_km2,mean_building_height_m,roads_primary_km,roads_secondary_km,roads_local_km,roads_total_km,infrastructure_age_mean_year,infrastructure_age_median_year,Latitude,Longitude
Bagerhat,district,3247.2,1730341,532.9,20.23,58.04,9.12,456978,66.49,8.2,419.2,1006.8,4051.3,5477.3,1977,1980,22.65,89.7667
Bandarban,district,2747.4,1627288,592.3,20.2,49.51,4.37,288170,52.62,8.4,601.3,1526.0,2152.9,4280.2,1989,1990,22.194,92.218
Barguna,district,1390.3,1167640,839.8,24.63,46.48,9.16,173991,40.91,3.0,124.1,1036.6,1620.8,2781.5,1988,1991,22.15,90.13
Barishal,district,4120.4,1660885,403.1,19.38,53.11,10.95,209171,63.59,3.0,631.5,2872.9,5530.2,9034.6,2001,1996,22.7,90.37
Bhola,district,1845.5,2859184,1549.3,24.21,51.93,11.58,112517,38.62,4.8,577.7,1059.3,2391.1,4028.1,1997,1996,22.69,90.65
Bogura,district,2951.1,4980026,1687.5,27.49,53.62,7.71,230166,128.92,9.2,683.3,1955.3,4688.8,7327.4,1977,1979,24.85,89.37
Brahmanbaria,district,1152.5,401934,348.7,25.3,47.41,11.61,109198,52.23,3.9,163.4,283.7,1407.8,1854.9,2002,2005,23.96,91.11
Chandpur,district,6228.8,5494697,882.1,21.59,57.36,8.39,1029050,144.74,8.7,683.4,2097.6,9148.8,11929.8,2000,2001,23.23,90.65
Chapai Nawabganj,district,1041.7,312510,300.0,20.42,53.42,6.42,92814,24.15,7.6,229.3,647.7,1411.0,2288.0,1998,1993,,
Chattogram,district,2805.3,3467738,1236.1,35.24,44.65,7.23,297986,132.07,6.0,407.8,1692.4,5809.5,7909.7,2004,2001,22.35,91.83
Chuadanga,district,3206.7,6551683,2043.1,27.75,51.21,4.48,698283,71.53,3.7,291.8,1778.2,6155.6,8225.6,1998,1997,23.63,88.83
Cox's Bazar,district,2359.0,1327215,562.6,21.32,63.52,4.32,430370,52.54,3.0,261.0,1780.6,5376.7,7418.3,2005,2001,21.4272,92.0058
Cumilla,district,5903.3,11914818,2018.3,35.77,42.11,6.7,1748521,275.34,9.1,1012.6,2417.6,11846.3,15276.5,2003,2007,23.46,91.18
Dhaka,district,1504.8,2070369,1375.8,13.0,56.02,15.46,128402,29.22,3.0,216.8,594.8,3075.3,3886.9,2006,2007,23.8103,90.4125
Dinajpur,district,4945.7,3360184,679.4,19.02,54.99,2.52,348794,109.98,7.4,1586.8,2862.0,10537.6,14986.4,2020,2020,25.625,88.65
Faridpur,district,3955.1,6230866,1575.4,12.0,65.62,3.72,407369,54.6,9.0,1348.7,3077.7,8841.3,13267.7,1991,1986,23.607,89.8429
Feni,district,6106.8,3935051,644.4,14.41,56.52,10.84,604747,74.49,6.6,1502.6,4849.0,5814.6,12166.2,2006,2006,23.02,91.4
Gaibandha,district,5444.6,10071588,1849.8,25.38,49.41,2.49,1059252,182.65,7.0,1778.1,2759.4,8726.2,13263.7,2003,2006,25.33,89.55
Gazipur,district,5211.8,6980568,1339.4,19.23,50.53,3.39,266379,100.81,6.3,1072.1,2739.3,6336.4,10147.8,1995,1995,24.0,90.4167
Gopalganj,district,1224.1,1122304,916.8,25.62,44.2,8.26,231759,44.53,3.0,126.1,282.8,2027.6,2436.5,2015,2017,23.02,89.83
Habiganj,district,5356.5,6476468,1209.1,21.09,46.89,12.19,440105,99.75,5.5,465.2,4165.2,11809.8,16440.2,1992,1997,24.38,91.42
Jamalpur,district,2039.8,1866483,915.0,13.43,55.66,15.06,181389,37.01,12.6,500.1,921.5,2337.4,3759.0,2008,2006,24.923,89.9501
Jashore,district,1086.4,1148938,1057.6,31.1,41.07,7.92,179554,37.13,3.0,203.8,618.7,2002.4,2824.9,1997,1996,23.17,89.2
