City,Latitude,Longitude
Gazipur,24.0023,90.426
Manikganj,23.86,90.001
Munshiganj,23.55,90.5167
Rajbari,23.7572,89.644
Shariatpur,23.2167,90.35
Gopalganj,23.0059,89.8266
Madaripur,23.1657,90.209
Narsingdi,23.9207,90.7188
Brahmanbaria,23.97,91.11
Chandpur,23.2333,90.6667
Lakshmipur,22.95,90.8333
Noakhali,22.8333,91.1
Khagrachari,23.1,91.9667
Rangamati,22.65,92.1833
Moulvibazar,24.4833,91.7667
Habiganj,24.3833,91.4167
Sunamganj,25.0667,91.4
Jhenaidah,23.541,89.153
Magura,23.4833,89.4167
Narail,23.1667,89.5
Kushtia,23.9,89.1167
Chuadanga,23.6333,88.85
Meherpur,23.7667,88.6333
Pabna,24.0064,89.2493
Natore,24.4167,88.9833
Naogaon,24.8,88.95
Chapai Nawabganj,24.6,88.2833
Sirajganj,24.45,89.7167
Joypurhat,25.1,89.0333
Dinajpur,25.6333,88.6333
Nilphamari,25.9333,88.85
Lalmonirhat,25.9167,89.45
Kurigram,25.8,89.6333
Gaibandha,25.3333,89.5
Thakurgaon,26.0333,88.4667
Panchagarh,26.3333,88.5667
Bhola,22.6833,90.65
Patuakhali,22.3667,90.3333
Jhalokati,22.64,90.2
Pirojpur,22.5833,89.9833
Barguna,22.15,90.1333
Mymensingh,24.7434,90.3984
Sherpur,25.0188,90.0175
Jamalpur,24.925,89.95
Netrokona,24.8833,90.7167
Ashuganj City,24.0167,91.05
Nagarpur,24.0667,89.8833
Bhairab Bazar,24.0667,90.9833
Karnaphuli,22.303,91.832
Paltan,23.725,90.421
Kafrul,23.7983,90.387
Bhatara,23.79,90.44
Tungi,23.8916,90.4013
Sonargaon,23.6167,90.6
Par Naogaon,24.75,88.95
Shahzadpur,24.1833,89.6
Puthia,24.3667,88.8333
Saidpur,25.7777,88.8917
Hathazari,22.5083,91.8083
Nawabganj (Rajshahi),24.6,88.2833
