district,decade,cyclone_count,avg_max_wind_kph,strongest_category,avg_damage_usd_million,avg_fatalities,population_affected_percent,exposure_index,coastal_flag
Bagerhat,1970s,4,185,Category 3,36.8,2,31.24,0.9,1
Bandarban,1970s,6,130,Category 1,31.9,3,9.32,0.5,0
Barguna,1970s,8,186,Category 3,39.2,3,42.71,0.9,1
Barishal,1970s,2,196,Category 3,34.9,1,69.68,0.9,1
Bhola,1970s,11,211,Category 4,37.5,40,83.42,0.9,1
Bogura,1970s,1,107,Tropical Storm,13.5,0,9.81,0.25,0
Brahmanbaria,1970s,5,140,Category 1,21.6,2,31.8,0.55,0
Chandpur,1970s,8,196,Category 3,26.3,0,46.87,0.9,1
Chapainawabganj,1970s,0,116,Tropical Storm,13,1,31.98,0.25,0
Chattogram,1970s,4,192,Category 3,66.5,1,37.93,0.9,1
Chuadanga,1970s,2,109,Tropical Storm,16.6,3,26.46,0.25,0
Cox's Bazar,1970s,6,175,Category 2,73.4,1,43.67,0.9,1
Cumilla,1970s,2,124,Category 1,8,1,38.84,0.55,0
Dhaka,1970s,0,116,Tropical Storm,21.3,0,9.78,0.25,0
Dinajpur,1970s,4,117,Tropical Storm,8,1,7.06,0.25,0
Faridpur,1970s,2,110,Tropical Storm,10,1,3.84,0.25,0
Feni,1970s,5,175,Category 2,18.5,10,39.02,0.9,1
Gaibandha,1970s,9,111,Tropical Storm,6.6,2,47.73,0.25,0
Gazipur,1970s,5,156,Category 2,22.2,2,24.03,0.6,1
Gopalganj,1970s,5,172,Category 2,25.4,1,56.28,0.6,1
Habiganj,1970s,1,121,Category 1,12.5,1,54.16,0.25,0
Jamalpur,1970s,1,101,Tropical Storm,5.8,4,25.55,0.25,0
Jashore,1970s,5,148,Category 1,19.5,3,21.41,0.6,1
Jhalokathi,1970s,8,191,Category 3,72.1,3,53.33,0.9,1
Jhenaidah,1970s,1,120,Category 1,11.9,2,27.41,0.25,0
Joypurhat,1970s,4,111,Tropical Storm,10,1,47.47,0.25,0
Khagrachhari,1970s,6,121,Category 1,13.5,5,14.76,0.5,0
Khulna,1970s,9,205,Category 3,61.3,0,43.25,0.9,1
Kishoreganj,1970s,4,107,Tropical Storm,8.1,0,33.69,0.25,0
Kurigram,1970s,4,111,Tropical Storm,12.6,2,22.32,0.25,0
Kushtia,1970s,2,94,Tropical Storm,9.3,1,44.48,0.25,0
Lakshmipur,1970s,4,188,Category 3,96.4,4,39.35,0.9,1
Lalmonirhat,1970s,0,89,Tropical Storm,11.6,2,23.46,0.25,0
Madaripur,1970s,6,146,Category 1,5.8,8,25.41,0.6,1
Magura,1970s,2,114,Tropical Storm,4.1,0,24.58,0.25,0
Manikganj,1970s,4,105,Tropical Storm,13.7,1,9.49,0.25,0
Meherpur,1970s,2,115,Tropical Storm,13.5,1,14.9,0.25,0
Moulvibazar,1970s,4,116,Tropical Storm,7.4,2,29.88,0.25,0
Munshiganj,1970s,8,167,Category 2,28.5,0,53.47,0.6,1
Mymensingh,1970s,2,124,Category 1,10.8,3,2.55,0.25,0
Naogaon,1970s,4,112,Tropical Storm,6.9,0,35.62,0.25,0
Narail,1970s,1,122,Category 1,6.9,1,27.11,0.25,0
Narayanganj,1970s,1,150,Category 1,11.2,1,25.78,0.6,1
Narsingdi,1970s,5,113,Tropical Storm,9.5,2,25.15,0.25,0
Natore,1970s,1,106,Tropical Storm,13.1,3,4.57,0.25,0
Netrokona,1970s,2,108,Tropical Storm,19,0,19.24,0.25,0
Nilphamari,1970s,2,116,Tropical Storm,8.2,1,31.52,0.25,0
Noakhali,1970s,8,188,Category 3,21.2,5,23.1,0.9,1
Pabna,1970s,2,113,Tropical Storm,36.1,1,15.82,0.25,0
Panchagarh,1970s,2,138,Category 1,18.4,1,56.65,0.25,0
Patuakhali,1970s,5,161,Category 2,17.5,6,18.33,0.9,1
Pirojpur,1970s,6,177,Category 2,24.9,5,54.39,0.9,1
