year,location,division,annual_precip_mm,max_24h_precip_mm,max_1h_intensity_mm_per_hr,precip_rank_all_year,precip_rank_in_type_year,rain_extreme,danger_score
1990,Barguna,Barishal,3111.319622160569,196.3208651408219,87.68314760513923,15,8,TRUE,91.5
1990,Barishal,Barishal,2683.634247166255,147.85437752041852,87.00760944727907,35,19,FALSE,83.1
1990,Bhola,Barishal,2236.568300552067,110.86852595856224,90.83895392243608,66,33,FALSE,72.2
1990,Jhalokati,Barishal,2639.487025601652,132.93822801940595,84.17040557229184,37,20,FALSE,81.9
1990,Patuakhali,Barishal,3374.405643344061,176.0042140873564,89.56751455586165,10,4,TRUE,87.5
1990,Pirojpur,Barishal,3049.3663316251664,155.05267855040722,85.91232563546865,18,9,FALSE,92.3
1990,Bandarban,Chattogram,3027.1198121800862,235.35235594720464,96.78807534209062,21,11,TRUE,83.5
1990,Brahmanbaria,Chattogram,3304.6962731813032,119.06760461746195,90.1794441165184,12,5,FALSE,87.5
1990,Chandpur,Chattogram,2891.557830284957,172.84535373207075,102.73727870106949,26,15,FALSE,79.4
1990,Chattogram,Chattogram,2885.39277480042,182.476840430568,99.26566556324664,27,16,FALSE,87.5
1990,Cox's Bazar,Chattogram,2894.3468864599963,192.70706986939464,93.41784370216996,25,14,FALSE,73.4
1990,Cumilla,Chattogram,3029.3520948874484,133.173515930772,96.09439632714007,20,10,FALSE,68.1
1990,Feni,Chattogram,3005.08141589241,167.3816905797018,92.06495167438064,22,12,FALSE,79.8
1990,Khagrachari,Chattogram,3674.993564816299,186.86230949722577,93.59931044791684,3,2,TRUE,60.5
1990,Lakshmipur,Chattogram,2523.891313067187,147.3828948347786,84.27324482756269,44,23,FALSE,76.6
1990,Noakhali,Chattogram,2973.680834759467,137.77015132644675,91.3789451592452,23,13,FALSE,84.3
1990,Rangamati,Chattogram,2684.7715699896626,150.1560211549649,88.67634447667294,34,18,FALSE,82.3
1990,Dhaka,Dhaka,2325.693472407091,117.3662083631672,85.66909117261069,55,27,FALSE,60.1
1990,Faridpur,Dhaka,2200.147245997684,121.73983534320836,83.32041597430458,73,37,FALSE,37.5
1990,Gazipur,Dhaka,2704.6850178278683,101.73924665172004,85.77879077488126,32,17,TRUE,85.1
1990,Gopalganj,Dhaka,2370.015971187121,144.7058876960461,71.13263720695856,50,26,FALSE,57.7
1990,Madaripur,Dhaka,1780.3919016920754,135.35703011070473,77.723158559993,116,57,FALSE,37.5
1990,Manikganj,Dhaka,2372.69510430232,90.94163682090758,69.25099772580938,49,25,FALSE,51.2
1990,Munshiganj,Dhaka,2289.246665937295,116.48720373174147,83.36299371590829,61,32,FALSE,68.5
1990,Narayanganj,Dhaka,2559.316070257696,127.4942212319333,70.60086474385112,41,21,FALSE,73.8
1990,Narsingdi,Dhaka,2218.6204516505745,135.33121749353992,72.70503971140526,71,36,FALSE,58.5
1990,Rajbari,Dhaka,2541.839417091748,128.7374092168025,81.61633515425578,43,22,FALSE,62.1
1990,Shariatpur,Dhaka,1777.0677324746405,121.81149238305912,91.75607478841933,117,58,FALSE,33.5
1990,Tangail,Dhaka,1877.532079730356,84.77291487092236,72.37141946174063,104,51,FALSE,52.8
1990,Bagerhat,Khulna,1907.9360673173928,50.748725468861046,82.54235629260681,98,48,FALSE,39.1
1990,Chuadanga,Khulna,1840.4160407246488,98.67014874804852,85.75138656344568,107,54,FALSE,52
1990,Jashore,Khulna,2488.4129284899327,165.9123939369773,86.95527780711106,45,24,TRUE,73
1990,Jhenaidah,Khulna,1799.0720186649885,87.23864233569488,72.59375697258919,111,55,FALSE,55.6
1990,Khulna,Khulna,2297.0495189338835,117.79381898281176,81.81222891014566,59,30,FALSE,49.6
1990,Kushtia,Khulna,1785.8663845278245,60.82349472544612,77.08244265387361,115,56,FALSE,50
1990,Magura,Khulna,2065.4344424597225,125.28927526198102,87.97278111463756,84,41,FALSE,36.7
1990,Meherpur,Khulna,1916.8238754324125,121.71310885073184,89.79674619618973,96,46,FALSE,36.3
1990,Narail,Khulna,1905.9028002562443,110.50189563488424,86.33079423408336,99,49,FALSE,60.1
1990,Satkhira,Khulna,2131.9461914878125,128.52787870598394,73.21712550652161,82,40,FALSE,66.1
1990,Mymensingh,Mymensingh,2139.1286957717625,153.62540442799192,99.24413165056797,81,39,FALSE,62.9
1990,Bogura,Rajshahi,1913.204968249278,86.84884328721527,84.6503440915687,97,47,FALSE,44
1990,Chapai Nawabganj,Rajshahi,1767.6538202465754,98.95727353917786,78.05321191192219,118,59,FALSE,45.2
1990,Joypurhat,Rajshahi,1842.933002162696,100.3856557792955,86.69225651061384,106,53,FALSE,48
1990,Naogaon,Rajshahi,2155.19977012392,73.80930754208302,87.39971931158789,78,38,FALSE,50
1990,Natore,Rajshahi,1881.4879092752071,79.16431831567648,75.99981304902752,103,50,FALSE,38.3
1990,Pabna,Rajshahi,2225.45130139637,82.38971151774471,88.7000346241817,69,35,TRUE,53.2
1990,Rajshahi,Rajshahi,1849.482995094464,74.45690576354241,69.51607807558675,105,52,FALSE,27.8
1990,Sirajganj,Rajshahi,1484.0203295170202,100.41937809442452,78.73144160352174,121,60,FALSE,29.4
1990,Dinajpur,Rangpur,2037.939324130485,107.51248316385144,76.26458465216382,87,42,FALSE,29
1990,Gaibandha,Rangpur,1963.1713276881544,89.84772297597864,84.76564486415053,93,44,FALSE,20.6
1990,Kurigram,Rangpur,1945.845809235113,96.6712116891378,94.33027832592025,94,45,TRUE,25.8
1990,Lalmonirhat,Rangpur,2309.205013032168,159.23360817616532,74.23544833199408,56,28,TRUE,36.7
1990,Nilphamari,Rangpur,2292.0626565678454,102.3889664410519,76.85320257434617,60,31,FALSE,60.5
1990,Panchagarh,Rangpur,2013.3327341716488,84.10027574161172,60.50560520346696,88,43,FALSE,33.9
1990,Rangpur,Rangpur,2225.515217897112,128.04625595972274,94.78663944288672,68,34,TRUE,26.6
1990,Thakurgaon,Rangpur,2307.4078174652527,118.38369685174548,80.20580607162837,57,29,FALSE,37.9
1990,Habiganj,Sylhet,3412.745311204584,97.38503748905175,93.07638180339578,6,3,FALSE,58.9
1990,Moulvibazar,Sylhet,3269.999372695868,156.85327547276987,100.95507826704043,13,6,FALSE,62.1
1990,Sunamganj,Sylhet,3241.49337099191,204.67557939593505,98.58305607915652,14,7,FALSE,83.9
1990,Sylhet,Sylhet,3678.379602821737,271.49080688481064,105.9494416627738,2,1,TRUE,87.1
1990,Barguna,Barishal,2814.247925503576,178.49991840353755,86.59098353647953,29,13,FALSE,62.1
1990,Barishal,Barishal,3042.075165801361,116.20022180505188,87.51222746975421,19,10,FALSE,78.6
1990,Bhola,Barishal,2544.408600754627,170.9426313382183,83.86485891234952,42,21,FALSE,68.1
1990,Jhalokati,Barishal,2603.7648414444,94.72383565667968,80.89690659700254,40,20,FALSE,70.6
1990,Patuakhali,Barishal,2770.1595303027743,170.78008247564165,88.75191000412902,30,14,FALSE,71.8
1990,Pirojpur,Barishal,2362.763442341768,120.5609837703477,74.876325522153,51,25,FALSE,73.4
1990,Bandarban,Chattogram,2951.897452713001,137.95113544049192,83.74453383197654,24,11,FALSE,54.8
1990,Brahmanbaria,Chattogram,3058.8270452232014,235.3165943119608,92.09880014740745,16,8,TRUE,60.1
1990,Chandpur,Chattogram,3318.902563385423,150.46260106999193,93.84287877120494,11,7,FALSE,69.8
1990,Chattogram,Chattogram,2691.5971436126047,108.81721049525332,92.06272728929932,33,16,FALSE,62.5
1990,Cox's Bazar,Chattogram,3056.067654050724,244.03491747073627,92.20488999284582,17,9,TRUE,66.1
1990,Cumilla,Chattogram,2623.8097262000474,107.7055567320654,93.58336930952032,39,19,FALSE,52.4
1990,Feni,Chattogram,3384.170130711639,173.9585233264853,78.19758177847709,8,5,FALSE,62.5
1990,Khagrachari,Chattogram,3377.8050919846864,147.70082907918663,90.27133625399988,9,6,FALSE,75.4
1990,Lakshmipur,Chattogram,2663.9549633273136,153.3770777941053,98.22321686398028,36,17,FALSE,73.8
1990,Noakhali,Chattogram,2630.9336309741616,87.15377165023101,79.23664501279266,38,18,FALSE,46.8
1990,Rangamati,Chattogram,2840.981751962247,136.86233635124495,84.06025324468791,28,12,FALSE,65.3
1990,Dhaka,Dhaka,2329.1456797829205,113.23690699173534,83.88613122860416,53,27,FALSE,67.7
1990,Faridpur,Dhaka,2487.436742569076,153.89846509439266,83.8323813321751,46,22,FALSE,40.3
1990,Gazipur,Dhaka,2259.139582997074,142.4871585181262,70.35510059263264,65,33,FALSE,43.5
1990,Gopalganj,Dhaka,2345.164997255648,119.04070169821344,83.23253595467821,52,26,FALSE,39.5
1990,Kishoreganj,Dhaka,2229.5145097653244,126.23802495031995,89.51610089687212,67,34,FALSE,31.5
1990,Madaripur,Dhaka,1927.803144502696,106.73576586341608,87.11422492797799,95,50,FALSE,37.1
1990,Manikganj,Dhaka,2735.7944604693166,184.81224055338245,78.50621510912556,31,15,TRUE,70.2
1990,Munshiganj,Dhaka,2275.3414627930674,160.9895280303715,85.22674822059015,63,31,TRUE,39.9
1990,Narayanganj,Dhaka,2064.0920146650496,124.85711639685138,75.77393785674344,85,44,FALSE,22.6
1990,Narsingdi,Dhaka,2187.139435490368,124.11621500607,73.26366787062621,75,38,FALSE,42.3
1990,Rajbari,Dhaka,2192.846124686834,148.50505669161475,89.96755528728721,74,37,FALSE,33.1
1990,Shariatpur,Dhaka,2304.9698234875186,114.6907897484555,74.57778883561923,58,29,FALSE,48.4
1990,Tangail,Dhaka,2404.3080412492163,130.44471243255958,74.19814314122472,47,23,FALSE,49.6
1990,Bagerhat,Khulna,1991.127266977996,133.92773078886327,72.67602324686537,90,47,FALSE,49.6
1990,Chuadanga,Khulna,2054.831414694523,100.61303552945064,76.71674899467217,86,45,FALSE,52.8
