Place,admin_level,area_km2,population,population_density,landuse_built_pct,landuse_vegetation_pct,landuse_water_pct,buildings_count,building_footprint_area_km2,mean_building_height_m,roads_primary_km,roads_secondary_km,roads_local_km,roads_total_km,infrastructure_age_mean_year,infrastructure_age_median_year
Bagerhat,district,3247.2,1730341,532.9,20.23,58.04,9.12,456978,66.49,8.2,419.2,1006.8,4051.3,5477.3,1977,1980
Bandarban,district,2747.4,1627288,592.3,20.2,49.51,4.37,288170,52.62,8.4,601.3,1526,2152.9,4280.2,1989,1990
Barguna,district,1390.3,1167640,839.8,24.63,46.48,9.16,173991,40.91,3,124.1,1036.6,1620.8,2781.5,1988,1991
Barishal,district,4120.4,1660885,403.1,19.38,53.11,10.95,209171,63.59,3,631.5,2872.9,5530.2,9034.6,2001,1996
Bhola,district,1845.5,2859184,1549.3,24.21,51.93,11.58,112517,38.62,4.8,577.7,1059.3,2391.1,4028.1,1997,1996
Bogura,district,2951.1,4980026,1687.5,27.49,53.62,7.71,230166,128.92,9.2,683.3,1955.3,4688.8,7327.4,1977,1979
Brahmanbaria,district,1152.5,401934,348.7,25.3,47.41,11.61,109198,52.23,3.9,163.4,283.7,1407.8,1854.9,2002,2005
Chandpur,district,6228.8,5494697,882.1,21.59,57.36,8.39,1029050,144.74,8.7,683.4,2097.6,9148.8,11929.8,2000,2001
Chapai Nawabganj,district,1041.7,312510,300,20.42,53.42,6.42,92814,24.15,7.6,229.3,647.7,1411,2288,1998,1993
Chattogram,district,2805.3,3467738,1236.1,35.24,44.65,7.23,297986,132.07,6,407.8,1692.4,5809.5,7909.7,2004,2001
Chuadanga,district,3206.7,6551683,2043.1,27.75,51.21,4.48,698283,71.53,3.7,291.8,1778.2,6155.6,8225.6,1998,1997
Cox's Bazar,district,2359,1327215,562.6,21.32,63.52,4.32,430370,52.54,3,261,1780.6,5376.7,7418.3,2005,2001
Cumilla,district,5903.3,11914818,2018.3,35.77,42.11,6.7,1748521,275.34,9.1,1012.6,2417.6,11846.3,15276.5,2003,2007
Dhaka,district,1504.8,2070369,1375.8,13,56.02,15.46,128402,29.22,3,216.8,594.8,3075.3,3886.9,2006,2007
Dinajpur,district,4945.7,3360184,679.4,19.02,54.99,2.52,348794,109.98,7.4,1586.8,2862,10537.6,14986.4,2020,2020
Faridpur,district,3955.1,6230866,1575.4,12,65.62,3.72,407369,54.6,9,1348.7,3077.7,8841.3,13267.7,1991,1986
Feni,district,6106.8,3935051,644.4,14.41,56.52,10.84,604747,74.49,6.6,1502.6,4849,5814.6,12166.2,2006,2006
Gaibandha,district,5444.6,10071588,1849.8,25.38,49.41,2.49,1059252,182.65,7,1778.1,2759.4,8726.2,13263.7,2003,2006
Gazipur,district,5211.8,6980568,1339.4,19.23,50.53,3.39,266379,100.81,6.3,1072.1,2739.3,6336.4,10147.8,1995,1995
Gopalganj,district,1224.1,1122304,916.8,25.62,44.2,8.26,231759,44.53,3,126.1,282.8,2027.6,2436.5,2015,2017
Habiganj,district,5356.5,6476468,1209.1,21.09,46.89,12.19,440105,99.75,5.5,465.2,4165.2,11809.8,16440.2,1992,1997
Jamalpur,district,2039.8,1866483,915,13.43,55.66,15.06,181389,37.01,12.6,500.1,921.5,2337.4,3759,2008,2006
Jashore,district,1086.4,1148938,1057.6,31.1,41.07,7.92,179554,37.13,3,203.8,618.7,2002.4,2824.9,1997,1996
Jhalokati,district,4755.2,9024885,1897.9,18.07,60.71,4.07,214298,96.15,6.2,1132.5,3633.6,8254.3,13020.4,2011,2007
Jhenaidah,district,3749.5,6044603,1612.1,18.5,53.26,9.76,578333,91.04,3.5,372,1467.5,8326.8,10166.3,1993,1992
